Heart Pulse Time Series Segments (1 to 150 data points - read in rows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Measured using  blood pressure monitor,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,Systolic,Diastolic,Beat Rate,Individual ID
505,506,506,506,507,507,509,512,514,517,518,519,519,517,516,515,512,510,508,506,506,505,505,507,504,504,504,504,505,506,506,506,505,506,505,506,505,505,505,505,504,505,505,505,505,506,505,506,505,506,506,506,508,510,512,515,517,518,518,518,518,516,514,513,509,508,506,504,504,504,505,505,506,506,505,505,505,505,504,505,505,505,505,505,505,505,505,505,505,506,505,506,506,507,508,511,513,516,517,518,518,518,516,515,513,511,509,507,506,505,505,505,505,505,506,506,506,505,506,505,505,505,505,505,506,505,505,506,505,505,505,505,506,506,506,507,508,511,513,515,517,517,518,517,517,515,513,511,508,507,121,69,74,1
506,505,505,505,506,506,506,506,506,505,505,505,505,505,506,506,506,506,506,506,506,506,506,505,506,508,510,512,514,516,517,517,517,516,514,513,510,509,507,506,505,505,505,506,506,505,506,506,506,505,506,505,505,506,505,506,506,505,506,506,506,506,507,507,509,511,514,515,518,518,518,517,517,515,513,511,509,507,506,505,505,505,505,505,506,506,506,506,506,506,506,505,505,506,506,506,505,506,506,506,506,505,506,507,508,510,513,515,517,518,519,518,517,516,514,512,510,508,506,504,505,504,504,505,505,506,506,506,506,506,506,506,506,506,505,505,505,506,505,505,505,505,506,507,508,511,514,516,518,518,121,69,74,1
518,517,515,514,513,510,508,506,504,504,505,504,506,506,505,505,505,507,505,505,506,506,505,505,506,506,505,505,505,505,506,506,506,507,509,511,514,516,518,518,518,518,516,515,512,510,508,507,505,504,505,505,505,506,506,506,506,505,505,505,506,506,506,506,506,506,506,506,506,506,506,506,509,511,513,515,518,519,520,520,518,517,515,512,509,507,506,505,504,504,504,504,505,505,506,505,506,506,505,505,506,506,505,505,506,506,506,505,505,505,506,507,510,512,515,518,520,520,521,520,518,517,515,512,509,506,505,504,504,504,504,505,505,505,505,505,505,505,505,505,506,505,505,505,505,505,505,505,505,506,121,69,74,1
506,507,510,513,516,519,519,520,520,519,517,515,512,510,507,504,503,503,503,504,504,504,504,505,504,505,505,504,504,505,505,505,505,505,506,505,505,505,506,505,506,506,506,509,512,514,517,522,520,519,518,518,516,513,512,511,507,506,504,504,503,504,504,504,505,505,505,504,504,504,505,505,505,505,505,505,505,505,505,506,504,505,505,505,505,507,509,512,513,516,517,518,517,518,516,515,513,511,509,507,506,506,505,505,505,505,505,505,505,505,505,506,505,504,505,504,504,505,505,505,505,505,505,506,506,508,509,511,512,514,516,516,516,516,515,514,511,510,509,507,506,505,505,505,506,505,506,505,506,505,121,69,74,1
505,505,505,505,505,505,505,505,506,506,506,505,506,507,507,509,511,513,515,517,517,518,517,517,515,514,512,510,508,505,505,505,505,506,506,506,506,505,505,505,505,505,505,505,505,505,505,505,506,506,506,506,506,507,508,510,513,515,517,519,518,519,517,517,515,514,510,508,507,505,505,505,505,505,505,505,505,505,505,505,504,505,505,505,505,505,506,506,505,508,506,505,505,506,507,510,512,515,518,519,519,520,518,516,515,512,510,507,506,504,504,504,504,504,505,505,505,505,505,506,506,505,505,505,505,506,506,506,505,505,505,504,506,505,506,508,510,512,515,518,518,520,519,518,516,515,512,509,508,505,121,69,74,1
504,505,504,504,505,505,504,506,505,505,504,505,504,505,504,504,505,505,505,505,505,506,506,506,508,510,512,514,517,518,518,517,516,515,513,510,509,507,505,504,504,504,505,505,506,506,505,505,505,505,504,504,505,505,506,505,505,504,505,505,506,505,506,506,508,511,513,516,517,518,518,517,516,514,512,511,509,507,505,504,504,504,505,505,505,505,505,505,505,505,505,505,505,504,505,505,505,505,506,506,506,506,506,506,508,510,513,515,516,517,516,516,516,514,513,510,508,507,505,504,504,504,504,504,506,506,506,506,505,505,505,505,504,505,505,505,505,504,506,505,505,506,506,506,506,511,508,511,513,515,121,69,74,1
516,517,516,516,515,514,511,509,508,507,505,504,504,504,505,506,505,506,506,506,505,505,505,506,505,505,505,505,506,505,505,506,506,505,505,506,505,508,509,511,513,515,516,516,516,515,515,513,512,510,508,506,506,506,506,506,506,506,505,505,505,505,505,506,506,505,506,506,505,506,506,506,507,506,506,506,507,507,509,510,512,513,515,515,516,516,514,514,511,510,509,508,507,507,507,506,506,507,506,506,506,506,506,504,505,506,507,506,506,506,506,506,506,507,506,507,508,508,511,513,515,516,516,516,516,516,513,513,510,509,508,506,505,505,506,506,506,506,506,506,506,506,506,506,506,506,505,505,505,506,121,69,74,1
506,507,507,506,506,508,508,510,512,514,516,517,517,517,516,515,514,513,510,508,507,506,505,505,506,506,506,506,506,506,506,505,506,506,506,505,506,506,505,506,505,506,505,506,506,508,509,511,514,515,517,518,519,518,516,515,513,511,508,507,507,506,505,505,506,506,506,506,505,506,506,506,505,506,504,505,505,506,506,506,505,506,506,506,505,508,508,509,512,514,516,517,518,518,517,517,515,512,511,508,507,505,505,504,505,506,505,506,506,506,505,506,505,505,506,505,505,505,506,505,505,506,505,506,506,507,508,511,513,515,516,516,517,517,515,514,512,510,507,506,505,505,505,504,505,506,506,506,506,506,121,69,74,1
505,505,505,505,504,505,506,506,506,507,505,506,506,507,508,511,512,515,517,517,517,517,516,514,512,510,508,507,505,505,504,505,505,505,505,505,506,504,505,505,506,506,506,506,505,505,505,505,505,505,505,507,506,507,510,512,515,516,517,518,517,516,514,512,511,508,506,504,505,504,505,504,505,506,506,505,506,505,505,506,505,504,505,505,505,505,505,505,505,506,506,507,509,510,512,514,516,516,515,516,514,514,512,509,509,507,506,505,505,505,505,506,506,505,505,505,506,505,506,506,505,505,506,506,505,505,505,505,505,505,505,506,507,509,511,513,515,516,517,516,515,514,512,510,509,507,507,506,505,506,121,69,74,1
506,506,506,506,506,506,506,506,505,505,506,505,505,505,505,507,505,505,506,506,506,507,507,508,510,512,514,515,515,517,516,515,514,512,511,510,508,507,506,506,505,506,506,506,507,506,506,506,506,506,506,507,506,506,505,505,506,506,506,506,506,507,509,510,513,514,515,516,516,516,515,513,511,510,509,508,507,506,506,505,506,505,506,506,506,506,506,506,505,506,506,506,505,505,510,505,506,507,507,507,511,512,515,516,517,517,518,517,516,515,513,510,508,507,506,506,505,505,506,506,506,506,506,505,506,505,505,505,506,506,506,505,506,506,505,506,506,507,508,510,513,516,517,519,519,519,518,516,515,512,121,69,74,1
510,508,507,506,505,504,505,505,505,505,505,506,505,506,505,505,505,505,506,508,506,506,505,506,505,506,507,507,508,511,514,516,518,519,520,519,518,516,515,512,510,507,506,504,504,504,505,505,505,505,505,506,505,505,505,505,505,505,505,505,505,505,506,506,505,506,507,506,507,506,509,511,512,514,517,518,519,518,517,515,514,512,510,508,505,505,504,505,505,505,505,504,506,505,505,505,504,505,504,505,505,506,506,505,505,506,505,506,505,506,506,507,508,510,512,515,516,517,517,516,516,515,513,511,509,507,506,506,504,505,505,506,506,506,505,505,505,505,505,505,505,505,506,505,506,506,506,505,506,506,121,69,74,1
506,507,509,511,512,514,515,515,515,515,513,513,511,509,508,507,506,506,506,505,506,505,505,506,505,505,505,506,505,506,506,506,505,506,506,506,505,505,506,507,507,510,511,514,514,516,515,516,515,514,512,511,509,508,507,506,505,505,505,505,505,506,505,506,506,505,505,505,506,505,506,506,506,506,505,505,505,506,506,507,508,510,512,512,514,516,517,516,516,515,513,511,509,507,506,506,506,506,505,506,506,506,506,505,506,506,506,506,506,506,505,505,506,506,507,506,506,506,506,507,507,508,509,512,514,516,516,517,517,516,515,513,512,509,508,506,506,505,506,505,507,506,507,506,505,506,506,505,506,506,121,69,74,1
504,506,506,506,506,506,506,507,506,506,506,507,509,510,512,514,516,517,518,517,517,516,514,511,508,507,507,505,505,506,506,506,506,506,507,505,506,506,505,506,505,506,506,506,506,506,506,506,506,506,506,506,508,510,513,514,517,517,517,516,516,514,513,511,509,507,507,506,505,505,506,506,506,506,507,506,506,507,506,506,505,505,505,505,506,506,506,506,506,506,507,510,512,515,517,518,519,518,517,515,514,512,510,508,506,504,504,505,505,505,505,506,506,506,505,505,505,505,505,506,505,505,506,506,505,506,506,506,506,507,510,512,515,517,518,519,518,517,516,515,512,510,508,506,504,504,504,505,505,505,121,69,74,1
506,505,506,505,506,506,505,505,504,504,505,505,504,506,505,505,506,505,507,507,508,511,513,516,517,517,518,517,516,514,511,510,507,505,505,504,504,504,505,505,506,505,506,506,505,506,505,505,505,506,505,506,506,505,505,506,506,506,505,507,507,509,510,512,513,515,516,516,515,515,514,512,510,509,507,506,505,505,505,505,505,505,505,505,506,505,505,505,505,505,506,505,506,506,506,511,505,506,506,506,507,508,513,512,513,515,515,516,514,514,512,511,509,508,506,505,506,505,505,505,506,506,506,506,505,505,506,506,505,506,505,506,506,510,506,506,505,506,506,507,508,510,510,513,514,515,514,514,514,512,121,69,74,1
511,510,508,507,506,506,506,505,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,508,506,506,507,508,510,511,513,514,515,515,515,515,514,512,511,508,508,507,506,505,506,506,506,507,507,506,506,507,507,506,506,506,506,506,505,506,506,505,505,508,506,506,507,508,510,511,513,514,516,515,515,515,514,512,511,510,508,506,506,505,505,506,506,506,507,507,507,505,506,507,506,506,506,506,506,507,506,505,506,506,506,506,506,507,508,509,510,513,514,516,516,516,515,515,513,512,510,508,507,507,506,506,506,507,506,507,506,506,506,506,506,506,506,507,506,506,507,506,506,506,506,506,506,506,121,69,74,1
